テキスト	概要
収納箱容量強化	拠点強化項目名
商人機能強化	拠点強化項目名
作業台機能解禁	拠点強化項目名
リング工房解禁	拠点強化項目名
最大HPアップ	拠点強化項目名
リング半径アップ	拠点強化項目名
リング速度アップ	拠点強化項目名
吸引強化	拠点強化項目名
リングプリセット解禁	拠点強化項目名
収納箱に保管できるアイテム数を増やすよ	収納箱容量強化の説明
商人ワゴンの商品枠や買取機能を強化するよ	商人機能強化の説明
作業台で扱える加工の種類を増やしたり、加工費用を割引したりするよ	作業台機能強化の説明
リング工房を拠点に建てるよ　リングの個別の調整や強化が可能になるよ	リング工房解禁の説明
ルネの最大HPを増やすよ	最大HP強化の説明
すべてのスペルリングの半径を増やすよ	リング半径強化の説明
すべてのスペルリングのアイテム回転速度を増やすよ	リング速度強化の説明
近くのアイテムをルネへ引き寄せる範囲を広げるよ	吸引強化の説明
リングプリセットを解禁するよ　リングのアイテム配置を保存・呼び出しできるようになるよ	リングプリセット解禁の説明
この強化枠は未実装だよ	未実装強化項目の状態
強化完了	拠点・リング強化結果のタイトル
リング工房を建設したよ	リング工房解禁の結果文
リング工房はまだ解禁されていないよ	リング工房未解禁の状態
リング工房: まだ解禁されていないよ	リング工房に入れない状態
何を調整する？	リング工房メニューの質問
リング強化	リング工房の機能名
レベルアップ配分調整	リング工房の機能名
半径調整	リング工房の調整項目
リング半径の上限強化	リング工房の強化項目
リング半径の下限強化	リング工房の強化項目
リング速度強化	リング工房の強化項目
リング重量制限強化	リング工房の強化項目
ずらし距離強化	リング工房の強化項目
リング投げ距離強化	リング工房の強化項目
リング投げクールダウン短縮	リング工房の強化項目
リング重量ペナルティ軽減	リング工房の強化項目
リングアイテム数増加	リング工房の強化項目
リング半径の上限を広げるよ	リング半径上限強化の説明
リング半径の下限を下げるよ	リング半径下限強化の説明
リングのアイテムの回転速度をあげるよ	リング速度強化の説明
リングの重量制限を増やすよ	リング重量制限強化の説明
リングずらしのずらす距離を伸ばすよ	リングずらし距離強化の説明
リング投げの飛距離を伸ばすよ	リング投げ距離強化の説明
リング投げの再使用までの時間を短くするよ	リング投げクールダウン強化の説明
リングのアイテムが重量制限を超えたときに、回転速度が遅くなるのを軽減するよ	リング重量ペナルティ軽減の説明
リングにのせられるアイテム数の上限を増やすよ	リング装着枠強化の説明
合計強化点 %d	リング強化ポイントの合計表示
再調整確定	リング強化再配分の確定ボタン
対象	強化詳細の対象ラベル
現在	強化詳細の現在値ラベル
配分案	リング強化再配分案のラベル
移動元	リング強化再配分元のラベル
次に選んだ項目へ1点移します。	リング強化再配分の案内
ポイントがある項目を選ぶと移動元になります。	リング強化再配分元の選択案内
未選択	リング強化再配分元の未選択状態
変更なし	リング強化再配分の変更なし状態
上限	強化項目の上限表示
未実装	未実装項目の表示
上限到達済み	強化項目の上限到達状態
この項目は現在利用できないよ	未実装強化項目の説明
再調整できるリング強化ポイントがないよ	リング強化再配分対象なしの状態
{リング名} {強化名}から移せるポイントがないよ	リング強化再配分元の不足状態
配分案を変更したよ	リング強化再配分案の変更通知
配分は変更されていないよ	リング強化再配分の変更なし状態
月のカケラが足りないよ	リング強化素材不足
リング強化の配分を再調整したよ	リング強化再配分完了
{リング名}の{強化名}を強化したよ	リング工房の強化結果
リング半径を調整したよ	リング半径調整完了
半径はゲージで調整してね	リング半径調整の案内
この強化は上限だよ	リング強化上限の状態
レベルアップ	レベルアップ画面・結果のタイトル
リング拡張	レベルアップの強化名
リング加速	レベルアップの強化名
重量拡張	レベルアップの強化名
リングの半径が広がるよ	レベルアップ強化の説明
リングのアイテムの回転速度が上がるよ	レベルアップ強化の説明
リングのアイテムの重量上限が上がるよ	レベルアップ強化の説明
半径 %.2fm	レベルアップの現在値表示
速度 %.2fm/s	レベルアップの現在値表示
重量 %.1fkg	レベルアップの現在値表示
強化するリングを選ぼう	レベルアップのリング選択案内
リングの強化内容を選ぼう	レベルアップの強化選択案内
{決定操作} OK	レベルアップのカード選択操作案内（カード選択操作は非表示）
{決定操作} 決定  {前後切替操作} リング切替	レベルアップのリング選択操作案内
{決定操作} OK  {前後切替操作} リング切替	レベルアップの操作案内
強化回数：{回数}	レベルアップの強化回数表示
{リング名}のサイズが大きくなった！	レベルアップ結果
{リング名}の速度が速くなった！	レベルアップ結果
{リング名}の重量上限が拡張された！	レベルアップ結果
探索地図	ダンジョンマップ画面のタイトル
{戻る操作} 閉じる	ダンジョンマップ画面の操作案内（スクロール操作は非表示）
地図情報がないよ	ダンジョンマップ情報なしの状態
{メニュー操作} メニュー  {shortcut} アイテム選択  {shortcut-row} アイテム行切替  {使用操作} 使用  {リング配置操作} リングへ  {中心ずらし操作} 中心ずらし  {リング投げ操作} リング投げ	ダンジョン通常時の操作案内
{メニュー操作} メニュー	ダンジョン簡易操作案内
{決定操作} 出口から拠点へ帰還	ダンジョン出口の操作案内
{決定操作} ダンジョン入口から拠点へ帰還	ダンジョン入口の帰還案内
{決定操作} ワープポイント {番号} から拠点へ帰還	ワープポイントの帰還案内
{決定操作} 大穴を調べる	ローグライク大穴の操作案内
大穴   星脈竜を倒すと進める	ローグライク大穴の未解禁案内
さらに進む	ローグライク大穴の選択肢
地上に戻る	ローグライク大穴の選択肢
星脈竜を倒すとさらに進める	ローグライク大穴の未解禁ログ
深度 %dm	ダンジョンHUDの深度表示
深度 %dm (寄り道中)	ダンジョンHUDの寄り道中深度表示
本道から離れている…　深度を進めるなら来た道を戻ろう	本道から外れた際の重要通知
リュックがいっぱいで拾えないよ	アイテム取得時の空き不足通知
星の歪みが消えた…	ローグライクで歪みが消えた場合の重要通知
星明かりが遠のいた…	ローグライクの歪み発生時の重要通知
星が硬化している…	ローグライクの歪み発生時の重要通知
残響が湧き上がる…	ローグライクの歪み発生時の重要通知
星明かりが遠のく	ローグライクの歪み名（デバッグ表示）
星硬化	ローグライクの歪み名（デバッグ表示）
残響湧き	ローグライクの歪み名（デバッグ表示）
リュックがいっぱいで捕獲できない！	捕獲時の空き不足ログ
不思議な力で捕獲できない！	ボス制限またはローグライク知識不足による捕獲不可ログ
捕獲に失敗した！	捕獲失敗ログ
{敵名} を捕まえた	捕獲成功の重要通知
虫とりアミ: {敵名} を収納できなかった（エラー）	捕獲品を収納も地面へ生成もできなかった場合のエラーログ
{リング名} が重量オーバーだ！	リング重量超過の重要通知
{名称} を入手	取得ログの接尾文
{名称} が壊れた	アイテム破損の重要通知
ルネは{名称}を使った！	アイテム使用ログ
宝箱はミミックだった！	ミミック出現ログ
ワープポイント全開放	ワープポイント一括解放ログ
ワープポイントは全開放済み	ワープポイント解放済みログ
落とし物を拾った	ダンジョンイベント進行通知
ワープの方角がミニマップに浮かんだ	ダンジョンイベント進行ログ
魔女の頼みを解決した！話しかけてみよう！	ダンジョンイベント解決の重要通知
{深度}m地点へ進んだ	ローグライク深度進行ログ
大穴への道が開いた	ローグライク大穴解禁ログ
帰還確認	ダンジョン帰還確認のタイトル
拠点へ帰還する？\nこのランを終了して、結果画面へ進むよ	ローグライク帰還の確認文
探索を中断して拠点へ帰る？	通常ダンジョン帰還の確認文
帰る	ダンジョン帰還の実行ボタン
ゲームを終了する？\n※セーブは拠点でのみ実行できるよ	ゲーム終了の確認文
終了する	ゲーム終了の実行ボタン
帰還したよ	テストプレイ時の帰還状態
帰還したよ。商人ワゴン更新あり	テストプレイ時の商人更新付き帰還状態
探索成果	ローグライク帰還成果の見出し
アイテム{個数}個	ローグライク帰還成果のアイテム数
収納箱{個数}個	ローグライク帰還成果の収納数
素材{個数}個	ローグライク帰還成果の素材数
満杯で未収納{個数}個	ローグライク帰還成果の未収納数
脱出したよ	チュートリアル脱出の状態表示
モニカ通信	通信メッセージの見出し
{文字送り操作} 文字送り	会話・通信メッセージの操作案内
アイテムを渡す	ダンジョンイベントの確認タイトル
「{アイテム名}」を魔女に渡す？\n渡したアイテムはなくなるよ	依頼アイテム受け渡しの確認文
渡す	依頼アイテム受け渡しボタン
やめる	依頼アイテム受け渡しのキャンセルボタン
渡すアイテムを選ぶ	依頼アイテム選択画面のタイトル
{決定操作} 渡す  {戻る操作} 戻る	依頼アイテム選択画面の操作案内
依頼品: {条件}	依頼アイテムの条件表示
依頼条件	依頼アイテム詳細のラベル
受け渡し	依頼アイテム詳細のラベル
渡せる	依頼アイテムを渡せる状態
対象外	依頼対象外アイテムの状態
装備中	装備中で操作できない状態
{条件}を持っていない	依頼アイテム不足の状態
そのアイテムは渡せなくなった	依頼アイテム状態変化のエラー
アイテムが入っていない	空スロット選択の状態
{決定操作} 魔女と話す	イベント魔女の会話案内
{決定操作} 魔女からお礼を受け取る	イベント魔女の報酬受取案内
{決定操作} 魔女に条件を確認	イベント魔女の依頼確認案内
眠る敵の宝物庫	ダンジョンイベント名
大量発生の部屋	ダンジョンイベント名
巣穴つぶし	ダンジョンイベント名
親分モンスター部屋	ダンジョンイベント名
光る岩	ダンジョンイベント名
電気回路	ダンジョンイベント名
金貨部屋	ダンジョンイベント名
ワープ案内図	ダンジョンイベント名
埋まった魔女	ダンジョンイベント名
荷物を落とした魔女	ダンジョンイベント名
アイテム要求魔女	ダンジョンイベント名
敵に囲まれた魔女	ダンジョンイベント名
寒がっている魔女	ダンジョンイベント名
重いもの魔女	ダンジョンイベント名
GAME OVER	ゲームオーバー画面のタイトル
リザルト	ゲームオーバー画面の見出し
死因      {死因}	ゲームオーバー結果の死因表示
レベル    {レベル}	ゲームオーバー結果のレベル表示
撃破数    {撃破数}	ゲームオーバー・星間記録の撃破数表示
掘削数    {掘削数}	ゲームオーバー・星間記録の掘削数表示
入手アイテム数  {個数}	ゲームオーバー結果の取得数表示
リトライ	ゲームオーバー画面の選択肢
帰還	ゲームオーバー画面の選択肢
毒の継続ダメージで死亡	ゲームオーバーの死因
熱の継続ダメージで死亡	ゲームオーバーの死因
出血の継続ダメージで死亡	ゲームオーバーの死因
スライムの攻撃で死亡	ゲームオーバーの死因
スライムの接触で死亡	ゲームオーバーの死因
発射物で死亡	ゲームオーバーの死因
爆発で死亡	ゲームオーバーの死因
罠で死亡	ゲームオーバーの死因
不明なダメージで死亡	ゲームオーバーの死因
{敵名}の攻撃で死亡	ゲームオーバーの動的死因
{敵名}の接触で死亡	ゲームオーバーの動的死因
{敵名}の{攻撃名}で死亡	ゲームオーバーの動的死因
STAGE CLEAR	ステージクリア画面のタイトル
クリア結果	ステージクリア画面の見出し
次ステージ解禁: Stage %d	ステージクリア時の解禁表示
クリア時間 {時間}   掘削数 {掘削数}   撃破数 {撃破数}	ステージクリア結果の統計
拠点へ戻る	結果画面の戻るボタン
ASTRAL RECORD	ローグライク結果画面のタイトル
星間記録	ローグライク結果画面の見出し
記録なし	ローグライク結果の状態
帰還成功	ローグライク結果の状態
死亡	ローグライク結果の状態
星脈竜撃破	ローグライク結果の状態
10000m到達	ローグライク結果の状態
結果      {結果}	ローグライク結果の結果表示
到達深度  {深度}m/{目標}m	ローグライク結果の深度表示
入手      アイテム {個数}   素材 {個数}   お金 {金額}G	ローグライク結果の取得物表示
持ち帰り  すべて持ち帰り	ローグライク結果の持ち帰り表示
持ち帰り  ラン取得品は星間に消失	ローグライク結果のロスト表示
スコア    {スコア}   ハイスコア {ハイスコア} 更新	ローグライク結果の新記録表示
スコア    {スコア}   ハイスコア {ハイスコア}	ローグライク結果のスコア表示
スコア    -   ハイスコア {ハイスコア}	ローグライク結果のスコアなし表示
氷結	状態異常HUDの名称
感電	状態異常HUDの名称
しびれ	状態異常HUDの名称
熱気	状態異常HUDの名称
毒	状態異常HUDの名称
出血	状態異常HUDの名称
粘着	状態異常HUDの名称
鈍足	状態異常HUDの名称
防御低下	状態異常HUDの名称
暗闇	状態異常HUDの名称
濡れ	状態異常HUDの名称
睡眠	状態異常HUDの名称
巨大化	状態異常HUDの名称
スタン	状態異常HUDの名称
混乱	状態異常HUDの名称
効果判明：{アイテム名}	アイテム効果発見ポップアップ
モンスター発見：{敵名}	モンスター発見ポップアップ
HP {HP} / 攻撃 {攻撃力}	モンスター発見ポップアップの能力表示
敵にダメージを与える	効果発見時の説明
地形を掘削できる	効果発見時の説明
リング上で周囲を照らす	効果発見時の説明
飛んできた弾を防ぐ	効果発見時の説明
探知効果を発揮する	効果発見時の説明
HPを回復する	効果発見時の説明
状態異常を付与する	効果発見時の説明
確率で敵の防御を低下させる	効果発見時の説明
敵の防御を低下させる	効果発見時の説明
確率で敵を{状態名}にする	効果発見時の説明
敵を{状態名}にする	効果発見時の説明
能力変化を与える	効果発見時の説明
地形へ掘削効果を発揮する	効果発見時の説明
効果が発動する	効果発見時の汎用説明
硬い土を掘れる	効果発見時の説明
土を掘れる	効果発見時の説明
対象を回復する	効果発見時の説明
※ただし、この敵には効かなかった	効果無効時の注記
地面に白い線を書く	効果発見時の説明
白線で囲んだ魔法陣を発動する	効果発見時の説明
白線の魔法陣を完成させる	効果発見時の説明
敵をノックバックさせる	効果発見時の説明
敵から小銭をこぼさせる	効果発見時の説明
敵から少額のお金を落とす	効果発見時の説明
敵から所持品を盗む	効果発見時の説明
属性魔法を発動する	効果発見時の説明
円	リング形状名
8の字	リング形状名
すい星	リング形状名
リング0	リング表示名
リング8	リング表示名
リングC	リング表示名
スコップ	初期リングアイテム名
松明	初期リングアイテム名
採掘	初期リングアイテムの役割
照明	初期リングアイテムの役割
紙芝居データを読み込めないよ	紙芝居読込失敗時の表示
{決定操作} 決定  {戻る操作} キャンセル  ↑/↓ 1個ずつ  ←/→ 10個ずつ	数量選択ダイアログの操作案内
{決定操作} 決定	結果画面の決定操作案内
{決定操作} OK  {リング配置操作} リングへ  {保護操作} 保護ON/OFF	アイテム取得通知の操作案内
{決定操作} OK  {リング配置操作} リングへ  {保護操作} 保護不可	保護できないアイテム取得通知の操作案内
{決定操作} OK  {前後切替操作} リング切替  {リング配置操作} リングへ  {保護操作} 保護ON/OFF	複数リング解禁時のアイテム取得通知の操作案内
{決定操作} OK  {前後切替操作} リング切替  {リング配置操作} リングへ  {保護操作} 保護不可	複数リング解禁時の保護できないアイテム取得通知の操作案内
項目がないよ	汎用リストの空状態
敵データがないよ	敵一覧の空状態
アイテム未指定	アイテム操作の対象未指定状態
リング満杯だよ	リング配置時の空き不足
加工したよ	アイテム加工完了の状態
個体化して加工したよ	スタックアイテムの個体化加工完了
個体化して強化したよ	スタックアイテムの個体化強化完了
個体強化したよ	個体アイテム強化完了
強化対象がないよ	強化対象なしの状態
修理したよ	アイテム修理完了の状態
修理不要	アイテム修理不要の状態
リセット不要	強化リセット不要の状態
倉庫へ預けました	アイテムを倉庫へ預けた状態
装備中の杖は外してね	装備中の杖に対する操作エラー
保護中は売却不可	保護アイテムの売却エラー
素材入手: {素材名}	素材入手の状態表示
所持金	所持金のラベル
重量 %.1f / %.1fkg	リング重量の汎用表示
%.1fkg（元%.1fkg x%.0f%%）	補正後アイテム重量の詳細表示
%+.2f倍	装備効果の倍率表示
巨大化状態を付与する	効果発見時の説明
{状態名}状態を付与する	効果発見時の説明
※ただし、この弾には効かなかった	発射物への効果無効時の注記
かなり遅い	モンスター図鑑の移動速度評価
遅い	モンスター図鑑の移動速度評価
やや遅い	モンスター図鑑の移動速度評価
まあまあ	モンスター図鑑の移動速度・捕獲難易度評価
やや速い	モンスター図鑑の移動速度評価
速い	モンスター図鑑の移動速度評価
かなり速い	モンスター図鑑の移動速度評価
超簡単	モンスター図鑑の捕獲難易度評価
簡単	モンスター図鑑の捕獲難易度評価
やや簡単	モンスター図鑑の捕獲難易度評価
ややムズい	モンスター図鑑の捕獲難易度評価
ムズい	モンスター図鑑の捕獲難易度評価
激ムズ	モンスター図鑑の捕獲難易度評価
持ち込み不可	ローグライク特殊ルールの短縮表示
レベルは1から	ローグライク特殊ルールの短縮表示
今まで入手したことのないアイテムは出現しない	ローグライク特殊ルールの短縮表示
発見したことにならない	ローグライク特殊ルールの短縮表示
登場しない	ローグライク特殊ルールの短縮表示
捕獲することができない	ローグライク特殊ルールの短縮表示
帰還に成功しない限りすべて失う	ローグライク特殊ルールの短縮表示
高レア増加	商人強化の機能表示
レア増加	商人強化の機能表示
強化項目	拠点強化の汎用項目名
収納箱容量	拠点強化結果の項目名
商人機能	拠点強化結果の項目名
作業台機能	拠点強化結果の項目名
最大HP	拠点強化結果の項目名
品揃え: {変更前} → {変更後}	商人強化結果の表示
買取価格: {変更前} → {変更後}	商人強化結果の表示
宝の高価買取: {変更前} → {変更後}	商人強化結果の表示
レア商品: {変更前} → {変更後}	商人強化結果の表示
加工機能: {変更前} → {変更後}	作業台強化結果の表示
作業台費用: {変更前} → {変更後}	作業台強化結果の表示
リング工房: {変更前} → {変更後}	リング工房解禁結果の表示
最大HP: {変更前} → {変更後}	最大HP強化結果の表示
リング半径: {変更前} → {変更後}	リング半径強化結果の表示
リング速度: {変更前} → {変更後}	リング速度強化結果の表示
吸引強化: {変更前} → {変更後}	吸引強化結果の表示
プリセット枠: {変更前} → {変更後}	プリセット枠解禁結果の表示
近くのドロップ	吸引強化の対象表示
リング編成登録/呼び出し	プリセット枠の用途表示
リュックを並び替えました	拠点内リュックの並び替え完了
リュックは空だよ	拠点内リュックの空状態
並び替えるアイテムがないよ	並び替え対象なしの状態
リングは空だよ	リングの空状態
リングを等間隔に整列したよ	拠点内リングの整列完了
位置を移動中だよ	拠点内アイテム配置の移動状態
アイテムを保護したよ	アイテム保護を有効にした状態
アイテムの保護を解除したよ	アイテム保護を解除した状態
このアイテムは保護できないよ	保護対象外の状態
リュックがいっぱいで取り出せないよ	収納箱からの取り出し時の空き不足
まとめ売りの選択を解除したよ	一括売却選択の解除通知
移動元にできるポイントがないよ	リング強化再配分元にできない状態
移動先を選んでください	リング強化再配分先の選択案内
この項目は未解禁だよ	リング工房の未解禁項目
しまう個数	収納数量選択のタイトル
取り出す個数	取り出し数量選択のタイトル
個	数量選択の単位
入れ替えました	拠点内アイテム入れ替え完了
配置したよ	拠点内アイテム配置完了
リングが、拠点でも止まらなくなった	隠し進行の状態通知
{人物名}を捕獲した	拠点NPC捕獲の状態通知
{人物名}はリングに吸い込まれた	拠点NPC捕獲時の収納失敗通知
{人物名}を撃破した	拠点NPC撃破の状態通知
{人物名}に攻撃した	拠点NPC攻撃の状態通知
空からスコップと松明が降ってきた！	序盤の初期装備出現通知
スコップと松明を受け取りました	序盤の初期装備取得通知
セーブに失敗したよ	日記のセーブ失敗表示
ダンジョンへ出発した	オートシミュの拠点行動結果
リングに	オートシミュのリング配置結果の接頭辞
アイテムを入れた	オートシミュのリング配置結果
リングからアイテムを外した	オートシミュのリング取り外し結果
リュックから	オートシミュの破棄結果の接頭辞
アイテムを捨てた	オートシミュの破棄結果
図鑑を同期した	オートシミュの図鑑同期結果
杖に	オートシミュの杖装備結果の接頭辞
アイテムを装備した	オートシミュの杖装備結果
使用リングを切り替えた	オートシミュのリング切替結果
収納箱に	オートシミュの収納結果の接頭辞
アイテムをしまった	オートシミュの収納結果
商人に	オートシミュの売却結果の接頭辞
アイテムを売った	オートシミュの売却結果
アイテムの保護を解除した	オートシミュの保護解除結果
アイテムを保護した	オートシミュの保護結果
アイテムを修理した	オートシミュの修理結果
アイテムの攻撃力を強化した	オートシミュの攻撃強化結果
アイテムの掘削力を強化した	オートシミュの掘削強化結果
拠点施設を強化した	オートシミュの拠点施設強化結果
再生速度 ×{倍率}	オートシミュの速度変更通知
ゲージをドラッグ  {決定操作} 適用  {戻る操作} 戻る  {使用操作} 試聴  ダブルクリック 試聴  Ctrl+C コピー  Ctrl+V 貼り付け  Ctrl+S 保存	効果音編集画面の操作案内
コピー: {効果音名}	効果音編集のコピー完了表示
貼り付け（未適用）: {コピー元} → {貼り付け先}	効果音編集の未適用貼り付け表示
コピーする効果音を選択してください	効果音編集のコピー対象未選択表示
貼り付ける効果音を選択してください	効果音編集の貼り付け先未選択表示
コピーされた効果音がありません	効果音編集のクリップボード未設定表示
コピー元のWAVが見つかりません: {パス}	効果音編集のコピー元ファイル不足表示
コピーは効果音編集でのみ使用できます	BGM編集画面でコピーした場合の表示
貼り付けは効果音編集でのみ使用できます	BGM編集画面で貼り付けた場合の表示
並び: 通常順	BGM・効果音編集のID一覧をマニフェスト順で表示するボタン
並び: ファイル名	BGM・効果音編集のID一覧を設定中のファイル名順で表示するボタン
ID一覧をファイル名順に並べ替え	BGM・効果音編集の並べ替え完了表示
ID一覧を通常順に戻した	BGM・効果音編集の通常順復帰表示
音量（未適用）: {割合}	音声編集の未適用音量表示
ピッチ（未適用）: {割合}	効果音編集の未適用ピッチ表示
タイトルBGM	BGM編集のタイトル用cue表示名
拠点BGM	BGM編集の拠点用cue表示名
チュートリアルダンジョンBGM	BGM編集の導入チュートリアル用cue表示名
ダンジョン1 BGM	BGM編集のダンジョン1用cue表示名
ダンジョン2 BGM	BGM編集のダンジョン2用cue表示名
ダンジョン3 BGM	BGM編集のダンジョン3用cue表示名
ダンジョン4 BGM	BGM編集のダンジョン4用cue表示名
ボス戦BGM	BGM編集の通常ボス戦用cue表示名
ラスボス戦BGM	BGM編集のラスボス戦用cue表示名
エンディング用BGM	BGM編集のエンディング用cue表示名
中央通知 警告	効果音編集の中央警告通知用cue表示名
中央通知 星の歪み	効果音編集の星の歪み通知用cue表示名
中央通知 成功	効果音編集の中央成功通知用cue表示名
♪ {曲名} / {作者名}	BGM開始時に左上へ表示する曲名・作者通知
♪ {曲名}	作者未設定時に左上へ表示するBGM通知
