"ID","名前","カテゴリ","説明文","レア度","基準レベル","価格","通常効果","軌道効果","攻撃力","ダメージ種別","掘削力","耐久力","重さ","画像番号","地面角度","リング角度","特殊タグ","効果テキスト","ST_C1","ST_R1","ST_S1","ST_C2","ST_R2","ST_S2","ST_C3","ST_R3","ST_S3","JK_C1","JK_R1","JK_S1","JK_C2","JK_R2","JK_S2","JK_C3","JK_R3","JK_S3","SC_C1","SC_R1","SC_S1","SC_C2","SC_R2","SC_S2","SC_C3","SC_R3","SC_S3","AS_C1","AS_R1","AS_S1","AS_C2","AS_R2","AS_S2","AS_C3","AS_R3","AS_S3","AS_C4","AS_R4","AS_S4","AS_C5","AS_R5","AS_S5","AS_C6","AS_R6","AS_S6","AS_C7","AS_R7","AS_S7","AS_C8","AS_R8","AS_S8","AS_C9","AS_R9","AS_S9"
"item_spear","槍","武器","長い柄を持つ武器。少し離れた敵に当てやすい。","3","8","540","none","none","24","pierce","1","80","1.8","47","-35","outward","weapon,metal,pierce,medium,long_reach,pointed","敵に刺突ダメージ（攻撃力24）","","","45","","51","59","47","68","51","32","31","17","10","9","5","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_steel_spear","鋼の槍","武器","鋼で補強された槍。長いリーチを保ったまま、攻撃力が上がっている。","5","18","1030","none","none","39","pierce","1","105","2","48","-35","outward","weapon,metal,pierce,medium,long_reach,pointed","敵に刺突ダメージ（攻撃力39）","","","","","","","","","","","","65","","67","74","42","74","57","26","35","22","8","10","7","1","2","1","1","1","","1","1","","","1","","","1","","","","","","","","","","","","","","","",""
"item_meteor_spear","流星の槍","武器","流星のように外側を切り裂く槍。遠い間合いから急所を貫く。","7","27","1530","none","item:[critical_chance,critical_power,item_orbit_offset]:[16,1.55,12]:0","49","pierce","2","125","2.15","49","-35","outward","weapon,metal,pierce,medium,long_reach,pointed","敵に刺突ダメージ（攻撃力49）｜会心率を上げる（16%）","","","","","","","","","","","","","","","","","","","","","86","26","82","86","33","75","58","31","65","44","28","60","40","26","54","37","23","49","33","21","44","29","18","38","26","15","33","22","13","27","18","10","22","15"
"item_hammer","鉄ハンマー","武器","重い頭で敵を叩く武器。まれに敵をひるませる。","3","10","690","none","enemy:status_stun_chance:20:1","29","blunt","4","95","2.8","50","-35","outward","weapon,metal,heavy,medium","敵に打撃ダメージ（攻撃力29）｜敵を気絶させる（20%）","","","","","","51","","60","59","47","51","31","23","22","12","6","5","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_rockcrusher_mace","岩砕きの槌","武器","岩を砕くために作られた重い槌。硬い地形に強く、敵もひるませる。","5","20","1230","none","terrain:dig_hard:10:0;enemy:[status_stun_chance,knockback]:[22,1.15]:1","44","blunt","10","140","3.4","51","-35","outward","weapon,metal,heavy,medium,hard_dig_tool","敵に打撃ダメージ（攻撃力44）｜硬い地形を掘れる（掘削力10）｜敵を気絶させる（22%）｜敵をノックバックさせる（1.15）","","","","","","","","","","","","48","","","71","33","74","71","39","58","39","19","25","16","5","6","4","3","3","2","2","3","2","2","3","2","2","3","1","2","2","1","2","2","1","1","2","1","1","1","1","1","1","1"
"item_steel_hammer","鋼鉄ハンマー","武器","鋼鉄で作られた重いハンマー。敵を強く打ち据え、硬い地形にも食い込む。","6","22","1410","none","terrain:dig_hard:9:0;enemy:[status_stun_chance,knockback]:[26,1.35]:1.1","48","blunt","9","130","3.6","208","-35","outward","weapon,metal,heavy,medium,hard_dig_tool","敵に打撃ダメージ（攻撃力48）｜硬い地形を掘れる（掘削力9）｜敵を気絶させる（26%）｜敵をノックバックさせる（1.35）","","","","","","","","","","","","","","","63","","61","82","37","78","63","29","49","33","12","17","12","7","11","7","7","10","6","6","9","6","6","8","5","5","7","5","4","6","4","4","6","3","3","5","3","2","4","2"
"item_earthsplit_mace","地割りの槌","武器","地面を割るような衝撃を出す槌。敵を強く吹き飛ばし、硬い地形も壊す。","7","28","1680","none","terrain:dig_hard:8:0;enemy:[status_stun_chance,knockback]:[30,1.55]:1.2","54","blunt","8","155","3.9","52","-35","outward","weapon,metal,heavy,medium,hard_dig_tool","敵に打撃ダメージ（攻撃力54）｜硬い地形を掘れる（掘削力8）｜敵を気絶させる（30%）｜敵をノックバックさせる（1.55）","","","","","","","","","","","","","","","","","","","","","79","","75","90","33","82","69","33","76","55","31","70","50","28","64","46","25","57","41","22","51","37","19","45","32","17","38","27","14","32","23","11","25","18"
"item_bat","バット","武器","木でできた棒状の武器。飛んできたものを打ち返せる。","2","3","310","none","projectile:reflect_physical:1:0","15","blunt","0","60","1","53","-35","outward","weapon,wood,medium,projectile_counter","敵に打撃ダメージ（攻撃力15）｜物理弾を反射","44","62","49","55","56","33","35","29","15","3","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_metal_bat","金属バット","武器","金属製のバット。木のバットより重いが、反射と打撃性能が高い。","4","12","780","none","projectile:reflect_physical_chance:65:0;enemy:knockback:1.25:0","28","blunt","0","90","1.7","54","-35","outward","weapon,metal,medium,projectile_counter","敵に打撃ダメージ（攻撃力28）｜物理弾を確率で反射（65%）｜敵をノックバックさせる（1.25）","","","","","","43","","","64","46","70","51","37","44","27","14","16","9","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_destruction_bat","破壊のバット","武器","殴ることだけを考えて作られた危険なバット。敵も弾も力任せに吹き飛ばす。","6","23","1370","none","projectile:reflect_physical:1:0;enemy:knockback:1.65:0","42","blunt","1","125","2.3","55","-35","outward","weapon,metal,heavy,medium,projectile_counter","敵に打撃ダメージ（攻撃力42）｜物理弾を反射｜敵をノックバックさせる（1.65）","","","","","","","","","","","","","","","53","","","79","34","81","72","34","61","43","17","26","17","12","18","11","11","16","10","10","15","9","9","13","8","8","12","7","7","10","6","6","9","5","5","7","5","4","6","4"
"item_frying_pan","フライパン","武器","料理より防御に向いている気がするフライパン。","3","4","410","none","projectile:guard:1:0;projectile:reflect_physical_chance:40:0","18","blunt","0","70","1.3","56","-35","outward","weapon,metal,medium,guard_projectile,projectile_counter","敵に打撃ダメージ（攻撃力18）｜弾を防ぐ｜物理弾を確率で反射（40%）","","60","59","50","66","45","40","41","24","6","5","3","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_bowling_ball","ボウリングの玉","武器","やたら重い玉。速く回るほどひどいことになる。","5","18","970","none","orbit:damage_speed:1:0","42","blunt","2","120","5","57","0","spin:180","weapon,heavy,round,large","敵に打撃ダメージ（攻撃力42）｜速度によるダメージ補正を強める（1倍）","","","","","","","","","","","","65","","67","74","42","74","57","26","35","22","8","10","7","1","2","1","1","1","","1","1","","","1","","","1","","","","","","","","","","","","","","","",""
"item_spiked_bat","釘バット","武器","釘が打ち込まれた危ないバット。打ち返すより殴る方に向く。","5","16","850","none","none","35","pierce","0","95","1.4","58","-35","outward","weapon,wood,metal,medium","敵に刺突ダメージ（攻撃力35）","","","","","","","","","","","58","74","39","76","65","39","58","39","13","17","11","3","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_hard_bread","かたいパン","武器","食べ物のはずだが、ほとんど鈍器。","2","2","190","player:heal:8:0","enemy:status_stun_chance:5:1","7","blunt","0","15","0.3","59","-35","outward","food,weapon,consumable,small","敵に打撃ダメージ（攻撃力7）｜HPを回復する（8）｜敵を気絶させる（5%）","51","64","45","51","48","26","25","21","11","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_wood_shield","木の盾","盾","木でできた軽い盾。頼りないが、ないよりはずっといい。","2","4","220","none","projectile:guard:1:0","2","blunt","0","65","1.2","60","-10","outward","shield,wood,guard_projectile,medium,contact_damage","敵に打撃ダメージ（攻撃力2）｜弾を防ぐ","","64","57","58","71","44","46","44","23","7","6","3","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_iron_shield","鉄の盾","盾","鉄でできた盾。重いぶんしっかり防ぐ。","4","10","440","none","projectile:guard:1.4:0","4","blunt","0","105","2.5","61","-10","outward","shield,metal,guard_projectile,guard_contact,heavy,medium,contact_damage","敵に打撃ダメージ（攻撃力4）｜弾を防ぐ","","","","","","66","","73","75","45","62","39","22","27","16","6","7","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_spike_shield","トゲ盾","盾","表面にトゲがついた盾。守るついでに刺さる。","5","14","620","none","projectile:guard:1:0","15","pierce","0","105","2","62","-10","outward","shield,metal,spike,guard_projectile,contact_damage,medium","敵に刺突ダメージ（攻撃力15）｜弾を防ぐ","","","","","","","","","65","35","85","80","44","77","54","28","40","25","5","7","4","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_mirror_shield","ミラーシールド","盾","表面が鏡のように光る盾。魔法を跳ね返す。","6","18","770","none","projectile:[reflect_magic,reflect_water]:[1,1]:0","7","magic","0","105","1.8","63","-10","outward","shield,metal,magic,projectile_counter,medium,contact_damage","敵に魔法ダメージ（攻撃力7）｜魔法弾を反射｜水弾を反射","","","","","","","","","","","","81","","82","90","39","90","71","25","42","28","8","13","8","1","2","1","1","1","1","1","1","1","","1","","","1","","","1","","","1","","","","","","","","","",""
"item_holey_shield","穴あき盾","盾","穴だらけの盾。防げるものと防げないものがはっきりしている。","3","6","350","none","projectile:guard_large:1:0","3","blunt","0","70","0.9","64","-10","outward","shield,wood,guard_large_projectile,medium,contact_damage","敵に打撃ダメージ（攻撃力3）｜大型弾を防ぐ","","","63","42","75","63","53","69","43","17","17","9","3","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_starsteel_shield","星鋼の盾","盾","星の光を含んだ鋼で作られた盾。重いが、弾を受け止める力が強い。","7","24","1110","none","projectile:guard:1.8:0;projectile:reflect_physical_chance:35:0","6","blunt","0","140","3","65","-10","outward","shield,metal,magic,guard_projectile,projectile_counter,heavy","敵に打撃ダメージ（攻撃力6）｜弾を防ぐ｜物理弾を確率で反射（35%）","","","","","","","","","","","","","","","","","","89","27","90","90","35","86","66","22","45","30","16","32","20","15","30","18","14","27","17","12","24","15","11","21","13","10","19","12","8","16","10","7","13","8","5","11","7"
"item_guardianstar_greatshield","守護星の大盾","盾","守護星の加護を宿した最上位の大盾。非常に重いが、多くの弾を受け止める。","9","29","1670","none","projectile:[guard,guard_large,reflect_physical_chance,reflect_magic_chance,reflect_water_chance]:[2.2,1,45,25,25]:0","8","magic","0","180","4.2","66","-10","outward","shield,metal,magic,guard_projectile,guard_large_projectile,projectile_counter,heavy,large","敵に魔法ダメージ（攻撃力8）｜弾を防ぐ｜大型弾を防ぐ｜物理弾を確率で反射（45%）｜魔法弾を確率で反射（25%）｜水弾を確率で反射（25%）","","","","","","","","","","","","","","","","","","","","","90","","81","90","23","90","90","26","90","86","24","90","79","21","88","72","19","79","65","17","70","58","15","62","50","13","53","43","11","44","36","9","35","29"
"treasure_asakou_01","くすんだ銀貨","宝","くすんだ銀貨。拠点で売却できる換金用の宝。","1","1","100","none","terrain:dig:1:0","2","blunt","1","15","0.05","67","0","spin:120","treasure,money,metal,small,round,trinket,contact_damage","敵に打撃ダメージ（攻撃力2）","17","11","5","13","7","3","5","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_asakou_02","古びた銅貨束","宝","古びた銅貨束。拠点で売却できる換金用の宝。","1","1","110","none","terrain:dig:2:0","2","blunt","2","20","0.12","68","0","spin:120","treasure,money,metal,small,round,trinket,contact_damage","敵に打撃ダメージ（攻撃力2）","17","11","5","13","7","3","5","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_asakou_03","銀の腕輪","宝","銀の腕輪。拠点で売却できる換金用の宝。","2","3","280","none","terrain:dig:1:0","2","blunt","1","20","0.18","69","0","fixed","treasure,metal,small,round,jewelry,trinket,contact_damage","敵に打撃ダメージ（攻撃力2）","12","12","8","16","11","5","10","5","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_asakou_04","鉱夫の記章","宝","鉱夫の記章。拠点で売却できる換金用の宝。","2","3","180","none","terrain:dig:1:0","2","blunt","1","20","0.08","70","0","fixed","treasure,relic,metal,small,contact_damage","敵に打撃ダメージ（攻撃力2）","12","12","8","16","11","5","10","5","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_asakou_06","青鉱石","宝","冷気を帯びた青い鉱石。リングに乗せると氷の力をまとった接触ダメージを与える。","1","2","150","none","none","3","ice","0","45","0.35","72","0","fixed","treasure,ore,stone,ice,medium,contact_damage","敵に氷ダメージ（攻撃力3）","16","11","6","16","8","3","8","4","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_asakou_07","赤鉱石","宝","熱を帯びた赤い鉱石。リングに乗せると火の力をまとった接触ダメージを与える。","1","2","150","none","none","3","fire","0","45","0.35","73","0","fixed","treasure,ore,stone,fire,medium,contact_damage","敵に火ダメージ（攻撃力3）","16","11","6","16","8","3","8","4","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_asakou_08","緑鉱石","宝","風を帯びた緑の鉱石。リングに乗せると風の力をまとった接触ダメージを与える。","1","2","140","none","none","3","wind","0","40","0.35","74","0","fixed","treasure,ore,stone,wind,medium,contact_damage","敵に風ダメージ（攻撃力3）","16","11","6","16","8","3","8","4","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_asakou_09","古い真鍮ベル","宝","古い真鍮製のベル。リングでぶつけると音が鳴り、敵をひるませることがある。","2","4","210","none","orbit:hit_sound:2:0;enemy:status_stun_chance:15:1.2;terrain:dig:2:0","2","blunt","2","30","0.28","75","-10","fixed","treasure,relic,metal,small,round,noisy,contact_damage,hollow,resonant,trinket","敵に打撃ダメージ（攻撃力2）｜敵を気絶させる（15%）","","11","8","16","12","6","12","7","3","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_asakou_10","ひび入りの鏡","宝","ひびの入った古い鏡。鏡面に残った力で魔法弾を低確率で反射する。","1","1","110","none","projectile:reflect_magic_chance:12:0;terrain:dig:1:0","1","blunt","1","6","0.25","76","0","fixed","treasure,relic,glass,mirror,small,fragile,contact_damage","敵に打撃ダメージ（攻撃力1）｜魔法弾を確率で反射（12%）","17","11","5","13","7","3","5","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_asakou_11","宝石箱","宝","宝石箱。拠点で売却できる換金用の宝。","3","6","360","none","terrain:dig:2:0","4","blunt","2","55","0.7","77","0","fixed","treasure,relic,wood,metal,medium,container,contact_damage","敵に打撃ダメージ（攻撃力4）","","","9","11","12","9","14","11","6","5","3","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_asakou_12","古い燭台","宝","古い燭台。拠点で売却できる換金用の宝。","2","4","220","none","terrain:dig:3:0","3","blunt","3","40","0.45","78","-10","fixed","treasure,relic,metal,medium,contact_damage","敵に打撃ダメージ（攻撃力3）","","11","8","16","12","6","12","7","3","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_asakou_13","銀のティーカップ","宝","銀のティーカップ。拠点で売却できる換金用の宝。","2","4","230","none","terrain:dig:1:0","3","blunt","1","25","0.18","79","0","fixed","treasure,relic,metal,small,round,vessel,contact_damage","敵に打撃ダメージ（攻撃力3）","","11","8","16","12","6","12","7","3","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_asakou_14","金装飾の椅子","宝","金装飾の椅子。拠点で売却できる換金用の宝。","3","7","450","none","terrain:dig:3:0","5","blunt","3","85","2.4","80","0","fixed","treasure,relic,wood,metal,large,heavy,contact_damage","敵に打撃ダメージ（攻撃力5）","","","8","","11","9","14","12","7","7","4","2","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_asakou_15","錆びた鍵束","宝","錆びた鍵束。拠点で売却できる換金用の宝。","1","2","110","none","terrain:dig:2:0","2","blunt","2","20","0.16","81","-15","fixed","treasure,relic,metal,small,trinket,contact_damage","敵に打撃ダメージ（攻撃力2）","16","11","6","16","8","3","8","4","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_asakou_16","銀縁の額縁","宝","銀縁の額縁。拠点で売却できる換金用の宝。","2","4","230","none","terrain:dig:1:0","3","blunt","1","40","0.5","82","-10","fixed","treasure,relic,wood,metal,medium,contact_damage","敵に打撃ダメージ（攻撃力3）","","11","8","16","12","6","12","7","3","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_asakou_17","古の懐中時計","宝","古い時代の懐中時計。リングで当てると時間が乱れ、敵を鈍らせることがある。","3","7","370","none","enemy:status_slow_chance:28:8;terrain:dig:1:0","2","magic","1","30","0.12","83","0","fixed","treasure,relic,metal,timepiece,small,contact_damage,trinket","敵に魔法ダメージ（攻撃力2）｜敵を鈍足させる（28%、8秒）","","","8","","11","9","14","12","7","7","4","2","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_asakou_18","木彫りの女神像","宝","木彫りの女神像。拠点で売却できる換金用の宝。","2","5","340","none","none","4","blunt","0","40","0.8","84","0","fixed","treasure,relic,wood,holy,medium,contact_damage","敵に打撃ダメージ（攻撃力4）","","9","8","15","12","7","15","9","4","3","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_asakou_19","ガーネット","宝","ガーネット。拠点で売却できる換金用の宝。","3","6","340","none","terrain:dig:2:0","2","blunt","2","25","0.08","85","0","fixed","treasure,gem,stone,small,contact_damage","敵に打撃ダメージ（攻撃力2）","","","9","11","12","9","14","11","6","5","3","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_asakou_20","トパーズ","宝","トパーズ。拠点で売却できる換金用の宝。","3","6","350","none","terrain:dig:2:0","2","blunt","2","25","0.08","86","0","fixed","treasure,gem,stone,small,contact_damage","敵に打撃ダメージ（攻撃力2）","","","9","11","12","9","14","11","6","5","3","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_asakou_21","アメジスト","宝","アメジスト。拠点で売却できる換金用の宝。","3","6","330","none","terrain:dig:2:0","2","blunt","2","25","0.08","87","0","fixed","treasure,gem,stone,small,contact_damage","敵に打撃ダメージ（攻撃力2）","","","9","11","12","9","14","11","6","5","3","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_asakou_22","ラピスラズリ","宝","ラピスラズリ。拠点で売却できる換金用の宝。","3","6","340","none","terrain:dig:2:0","2","blunt","2","25","0.1","88","0","fixed","treasure,gem,stone,small,contact_damage","敵に打撃ダメージ（攻撃力2）","","","9","11","12","9","14","11","6","5","3","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_asakou_24","黄金琥珀","宝","黄金色に透ける琥珀。リングに乗せると淡い光を放つ。","4","8","510","none","area:light:2:0;terrain:dig:1:0","3","blunt","1","30","0.14","90","0","fixed","treasure,gem,stone,light_source,small,contact_damage","敵に打撃ダメージ（攻撃力3）｜周囲を照らす（光量1）","","","8","","10","10","12","14","9","8","6","3","3","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_asakou_27","地下礼拝堂の聖玉","宝","地下礼拝堂に残されていた聖なる宝玉。淡い光と回復の力を持つ。","5","10","890","none","area:light:2:0;player:regen:0.12:0;terrain:dig:3:0","5","magic","3","60","0.3","93","0","spin:80","treasure,relic,stone,holy,light_source,medium,round,contact_damage,magic","敵に魔法ダメージ（攻撃力5）｜周囲を照らす（光量2）","","","","","","10","","13","11","11","11","6","5","5","2","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_asakou_28","埋もれた宝冠","宝","埋もれた宝冠。拠点で売却できる換金用の宝。","5","10","910","none","terrain:dig:3:0","8","slash","3","65","0.55","94","0","fixed","treasure,relic,metal,stone,royal,medium,jewelry,contact_damage,blade,pointed","敵に斬撃ダメージ（攻撃力8）","","","","","","10","","13","11","11","11","6","5","5","2","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_asakou_29","星くずの欠片","宝","鋭くとがった星くずの欠片。速く回すほど切り裂く力が増す。","2","5","270","none","area:light:2:0;terrain:dig:4:0","5","slash","4","35","0.08","95","-25","outward","treasure,stone,star_fragment,blade,small,contact_damage,light_source,fragment","敵に斬撃ダメージ（攻撃力5）｜周囲を照らす（光量1）","","9","8","15","12","7","15","9","4","3","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_asakou_30","星砂の小瓶","宝","星のように光る砂を入れた小瓶。リングに乗せると周囲を少し照らす。","3","7","420","none","area:light:2:0;terrain:dig:1:0","2","magic","1","11","0.18","96","0","fixed","treasure,glass,stone,star_fragment,light_source,small,fragile,contact_damage,magic","敵に魔法ダメージ（攻撃力2）｜周囲を照らす（光量1）","","","8","","11","9","14","12","7","7","4","2","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_haiki_31","魔法の金属片","宝","魔法の金属片。拠点で売却できる換金用の宝。","2","12","370","none","terrain:dig:4:0","5","slash","4","25","0.25","97","-25","outward","treasure,metal,small,fragment,magic,contact_damage,blade,pointed","敵に斬撃ダメージ（攻撃力5）","","","","","","5","","","8","16","12","6","12","7","3","5","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_haiki_32","錆びた魔法歯車","宝","錆びた魔法歯車。拠点で売却できる換金用の宝。","2","12","380","none","terrain:dig:3:0","5","blunt","3","30","0.35","98","0","spin:120","treasure,metal,round,small,mechanical,magic,contact_damage","敵に打撃ダメージ（攻撃力5）","","","","","","5","","","8","16","12","6","12","7","3","5","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_haiki_33","魔導コイル","宝","魔導装置から外れたコイル。リングに乗せると帯電し、敵を麻痺させることがある。","3","13","460","none","enemy:status_paralyze_chance:18:6;terrain:dig:3:0","4","thunder","3","55","0.45","99","-20","outward","treasure,metal,thunder,medium,contact_damage,mechanical,magic","敵に雷ダメージ（攻撃力4）｜敵を麻痺させる（18%、6秒）","","","","","","","","","8","13","13","8","13","10","5","7","4","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_haiki_34","銀の留め具","宝","銀の留め具。拠点で売却できる換金用の宝。","2","12","310","none","terrain:dig:1:0","3","blunt","1","20","0.08","100","0","fixed","treasure,metal,small,contact_damage","敵に打撃ダメージ（攻撃力3）","","","","","","5","","","8","16","12","6","12","7","3","5","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_haiki_36","翡翠の手鏡","宝","ヒビの入った手鏡。鏡なので魔法弾を反射しやすいが、壊れやすい。","2","13","350","none","projectile:reflect_magic_chance:25:0;terrain:dig:1:0","5","blunt","1","9","0.28","102","0","fixed","treasure,glass,metal,mirror,small,fragile,contact_damage","敵に打撃ダメージ（攻撃力5）｜魔法弾を確率で反射（25%）","","","","","","","","","7","15","12","7","15","9","4","7","4","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_haiki_37","魔導炉の破片","宝","古い魔導炉から剥がれた破片。まだ熱を帯びており、火の接触ダメージを与える。","3","14","470","none","orbit:cast_fire:1:0;terrain:dig:4:0","5","fire","4","55","0.5","103","-25","outward","treasure,metal,fire,medium,contact_damage,mechanical,fragment,magic","敵に火ダメージ（攻撃力5）｜火魔法を発動する（威力1）","","","","","","","","","7","11","12","9","14","11","6","9","6","3","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_haiki_38","金のしおり","宝","金のしおり。拠点で売却できる換金用の宝。","3","14","500","none","none","6","slash","0","25","0.04","104","-25","fixed","treasure,metal,paper,small,magic,relic,contact_damage,blade,pointed","敵に斬撃ダメージ（攻撃力6）","","","","","","","","","7","11","12","9","14","11","6","9","6","3","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_haiki_40","魔力の結晶玉","宝","魔力を含んだ結晶玉。リングに乗せると接触威力を高める。","4","15","630","none","enemy:status_stun_chance:10:1.5;terrain:dig:3:0","4","magic","3","45","0.35","106","0","spin:90","treasure,stone,magic,medium,round,contact_damage","敵に魔法ダメージ（攻撃力4）｜敵を気絶させる（10%）","","","","","","","","","7","","12","10","13","13","8","10","8","4","3","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_haiki_44","歯車細工の宝箱","宝","歯車細工の宝箱。拠点で売却できる換金用の宝。","4","16","720","none","terrain:dig:3:0","7","blunt","3","80","0.9","110","0","fixed","treasure,metal,wood,medium,heavy,container,mechanical,relic,contact_damage","敵に打撃ダメージ（攻撃力7）","","","","","","","","","","","10","10","12","14","9","12","10","5","4","3","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_haiki_45","宝石仕掛けの小箱","宝","宝石仕掛けの小箱。拠点で売却できる換金用の宝。","4","16","700","none","terrain:dig:3:0","6","blunt","3","60","0.5","111","0","fixed","treasure,metal,stone,medium,container,relic,contact_damage","敵に打撃ダメージ（攻撃力6）","","","","","","","","","","","10","10","12","14","9","12","10","5","4","3","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_haiki_46","曲がった王冠","宝","曲がった王冠。拠点で売却できる換金用の宝。","3","15","620","none","terrain:dig:2:0","8","slash","2","50","0.45","112","0","fixed","treasure,metal,royal,medium,jewelry,relic,contact_damage,blade,pointed","敵に斬撃ダメージ（攻撃力8）","","","","","","","","","6","","11","9","14","12","7","11","8","4","3","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_haiki_47","銀翼の冠","宝","銀翼の冠。拠点で売却できる換金用の宝。","5","17","990","none","terrain:dig:3:0","9","slash","3","65","0.5","113","0","fixed","treasure,metal,stone,royal,medium,jewelry,relic,contact_damage,blade,pointed","敵に斬撃ダメージ（攻撃力9）","","","","","","","","","","","","11","9","14","11","12","13","7","5","5","2","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_haiki_48","虹のプリズム","宝","虹色に光を分けるプリズム。反射した光で敵の視界を乱すことがある。","4","16","640","none","enemy:status_confuse_chance:12:6;terrain:dig:2:0","3","magic","2","13","0.28","114","0","spin:60","treasure,glass,stone,prism,small,fragile,contact_damage","敵に魔法ダメージ（攻撃力3）｜敵を混乱させる（12%、6秒）","","","","","","","","","","","10","10","12","14","9","12","10","5","4","3","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
